Format = Name, Patch, Type, Ra, Dec, I, Q, U, V, SpectralIndex, LogarithmicSI, ReferenceFrequency='150.e6', MajorAxis, MinorAxis, Orientation

, cluster1, POINT, , , , , , , , , , , ,
s0c2, cluster1, POINT, 11:53:01.461, 00.47.32.558, 7585.7890625, 0, 0, 0, [14430.5], false, 54050676.8526426, , ,
s0c5, cluster1, POINT, 11:52:59.461, 00.47.42.559, 2526.48999023438, 0, 0, 0, [5010.51123046875], false, 54050676.8526426, , ,
s0c8, cluster1, POINT, 11:52:58.128, 00.48.02.559, 1716.0009765625, 0, 0, 0, [2596.35693359375], false, 54050676.8526426, , ,
s0c11, cluster1, POINT, 11:52:54.127, 00.48.32.561, 6012.376953125, 0, 0, 0, [7196.52294921875], false, 54050676.8526426, , ,
s0c14, cluster1, POINT, 11:52:51.46, 00.48.52.562, 2030.70300292969, 0, 0, 0, [1441.08605957031], false, 54050676.8526426, , ,
s0c17, cluster1, POINT, 11:52:47.46, 00.49.22.563, 2293.23901367188, 0, 0, 0, [-913.406127929688], false, 54050676.8526426, , ,
s0c3, cluster1, POINT, 11:53:00.795, 00.47.32.558, 1944.60095214844, 0, 0, 0, [4093.24291992188], false, 54050676.8526426, , ,
s0c4, cluster1, POINT, 11:53:00.795, 00.47.42.558, 2225.07299804688, 0, 0, 0, [3808.36499023438], false, 54050676.8526426, , ,
s0c6, cluster1, POINT, 11:52:57.461, 00.47.42.56, 4487.81201171875, 0, 0, 0, [12298.650390625], false, 54050676.8526426, , ,
s0c7, cluster1, POINT, 11:52:58.128, 00.47.52.559, 5279.18017578125, 0, 0, 0, [10126.2802734375], false, 54050676.8526426, , ,
s0c9, cluster1, POINT, 11:52:56.128, 00.48.02.56, 4690.966796875, 0, 0, 0, [8464.9072265625], false, 54050676.8526426, , ,
s0c10, cluster1, POINT, 11:52:54.794, 00.48.22.561, 7529.86376953125, 0, 0, 0, [10055.8896484375], false, 54050676.8526426, , ,
s0c12, cluster1, POINT, 11:52:53.461, 00.48.42.561, 2268.35400390625, 0, 0, 0, [2029.55700683594], false, 54050676.8526426, , ,
s0c13, cluster1, POINT, 11:52:52.127, 00.48.42.561, 4308.02587890625, 0, 0, 0, [3969.06103515625], false, 54050676.8526426, , ,
s0c15, cluster1, POINT, 11:52:50.794, 00.49.02.562, 7046.13916015625, 0, 0, 0, [3385.88891601562], false, 54050676.8526426, , ,
s0c16, cluster1, POINT, 11:52:49.46, 00.49.12.562, 3695.67211914062, 0, 0, 0, [522.75927734375], false, 54050676.8526426, , ,
s0c18, cluster1, POINT, 11:52:46.793, 00.49.32.563, 8853.9658203125, 0, 0, 0, [-6605.85009765625], false, 54050676.8526426, , ,
, cluster2, POINT, , , , , , , , , , , ,
s0c0, cluster2, POINT, 11:52:54.126, 00.25.12.55, 7431.7138671875, 0, 0, 0, [-3196.22900390625], false, 54050676.8526426, , ,
, cluster3, POINT, , , , , , , , , , , ,
s0c1, cluster3, POINT, 11:52:52.126, 00.25.12.551, 5894.61083984375, 0, 0, 0, [-4256.17822265625], false, 54050676.8526426, , ,
