Format = Name, Type, Ra, Dec, I, SpectralIndex, LogarithmicSI, ReferenceFrequency='23415776.45224173', MajorAxis, MinorAxis, Orientation
s0c0,POINT,11:43:10.768,-02.30.06.492,3004.808,[-11859.65],false,23415776.45224173,,,
s0c1,POINT,11:43:08.764,-02.30.06.509,1915.404,[-8683.595],false,23415776.45224173,,,
s0c2,POINT,11:42:55.407,-02.30.06.626,3200.78,[-13955.43],false,23415776.45224173,,,
s0c3,POINT,11:42:52.735,-02.30.06.65,2053.42,[-9676.09],false,23415776.45224173,,,
s0c4,POINT,11:42:41.381,-02.30.06.753,3138.46,[-15927.43],false,23415776.45224173,,,
s0c5,POINT,11:43:03.422,-02.29.56.539,2193.127,[-9599.32],false,23415776.45224173,,,
s0c6,POINT,11:42:57.436,-02.26.36.264,1870.117,[-6260.797],false,23415776.45224173,,,
s0c7,POINT,11:42:41.407,-02.26.36.408,1915.499,[-8320.063],false,23415776.45224173,,,
s0c8,POINT,11:42:52.762,-02.26.26.289,3630.83,[-13186.99],false,23415776.45224173,,,
s0c9,POINT,11:42:42.744,-02.26.26.379,3715.876,[-15188.04],false,23415776.45224173,,,
s0c10,POINT,11:42:31.389,-02.26.26.483,3089.718,[-16856.49],false,23415776.45224173,,,
s0c11,POINT,11:58:32.478,-02.22.54.371,4712.734,[8040.135],false,23415776.45224173,,,
s0c12,POINT,11:58:21.798,-02.22.44.297,4841.542,[8577.85],false,23415776.45224173,,,
s0c13,POINT,11:50:36.045,-02.06.42.093,-3933.742,[223.6432],false,23415776.45224173,,,
s0c14,POINT,11:50:26.038,-02.06.42.111,-2663.182,[1380.306],false,23415776.45224173,,,
s0c15,POINT,11:50:25.396,-01.46.30.713,2668.082,[11071.69],false,23415776.45224173,,,
s0c16,POINT,11:50:26.73,-01.46.20.7,1650.899,[7397.407],false,23415776.45224173,,,
s0c17,POINT,11:50:12.723,-01.46.20.729,5244.381,[10835.18],false,23415776.45224173,,,
s0c18,POINT,11:50:40.738,-01.46.10.665,2562.231,[16542.11],false,23415776.45224173,,,
s0c19,POINT,11:50:38.737,-01.45.50.648,1579.9,[9424.38],false,23415776.45224173,,,
s0c20,POINT,11:59:00.915,-01.05.39.86,2748.601,[7734.098],false,23415776.45224173,,,
s0c21,POINT,11:59:08.25,-01.04.49.877,1610.086,[3148.775],false,23415776.45224173,,,
s0c22,POINT,11:59:12.92,-01.04.39.9,2661.129,[5399.819],false,23415776.45224173,,,
s0c23,POINT,12:01:59.0,-00.44.20.588,-4100.174,[14673.86],false,23415776.45224173,,,
s0c24,POINT,12:00:57.646,00.58.40.598,2446.097,[-12887.49],false,23415776.45224173,,,
s0c25,POINT,12:00:50.976,00.59.20.65,2696.887,[-11675.43],false,23415776.45224173,,,
s0c26,POINT,12:00:40.3,00.59.20.731,3621.976,[-13588.87],false,23415776.45224173,,,
s0c27,POINT,11:52:36.794,01.36.52.66,2151.077,[7825.098],false,23415776.45224173,,,
s0c28,POINT,11:52:06.782,01.37.22.658,1214.308,[9756.145],false,23415776.45224173,,,
s0c29,POINT,11:51:45.44,01.37.22.646,2046.106,[12887.53],false,23415776.45224173,,,
s0c30,POINT,11:52:33.459,01.37.42.665,2367.712,[11903],false,23415776.45224173,,,
s0c31,POINT,11:52:28.124,01.37.42.665,1468.905,[9126.691],false,23415776.45224173,,,
s0c32,POINT,11:52:22.788,01.37.52.665,2546.229,[17397.05],false,23415776.45224173,,,
s0c33,POINT,11:52:22.121,01.38.02.666,1258.279,[9107.261],false,23415776.45224173,,,
s0c34,POINT,11:52:12.784,01.38.02.664,2442.41,[18841.6],false,23415776.45224173,,,
s0c35,POINT,11:52:01.446,01.38.12.661,1719.707,[10982.85],false,23415776.45224173,,,
s0c36,POINT,11:51:30.767,01.38.22.64,2069.668,[11203.71],false,23415776.45224173,,,
s0c37,POINT,11:51:55.443,01.38.32.66,1472.78,[9035.764],false,23415776.45224173,,,
s0c38,POINT,11:52:20.12,01.38.42.67,1929.936,[12066.97],false,23415776.45224173,,,
s0c39,POINT,11:52:13.451,01.39.02.671,2096.425,[13183.81],false,23415776.45224173,,,
s0c40,POINT,11:51:56.11,01.39.02.663,1232.842,[7674.833],false,23415776.45224173,,,
s0c41,POINT,11:51:49.441,01.39.02.659,1608.49,[9390.208],false,23415776.45224173,,,
s0c42,POINT,11:52:11.45,01.39.22.672,2363.149,[14769.33],false,23415776.45224173,,,
s0c43,POINT,11:51:46.106,01.39.22.659,1327.345,[7957.004],false,23415776.45224173,,,
s0c44,POINT,11:51:40.77,01.39.42.658,2237.333,[12944.16],false,23415776.45224173,,,
s0c45,POINT,11:52:01.446,01.39.52.672,2197.336,[13049.68],false,23415776.45224173,,,
s0c46,POINT,11:51:41.437,01.39.52.659,1506.144,[8247.966],false,23415776.45224173,,,
s0c47,POINT,11:52:22.788,01.40.32.683,1412.663,[8656.958],false,23415776.45224173,,,
s0c48,POINT,11:52:03.446,01.40.32.677,2527.324,[14785.18],false,23415776.45224173,,,
s0c49,POINT,11:52:28.123,01.40.42.685,2139.682,[12463.56],false,23415776.45224173,,,
s0c50,POINT,11:52:16.118,01.40.52.684,1322.678,[9009.817],false,23415776.45224173,,,
s0c51,POINT,11:52:20.787,01.41.02.686,2026.09,[12879.78],false,23415776.45224173,,,
s0c52,POINT,11:51:54.109,01.41.02.676,2403.022,[13803.61],false,23415776.45224173,,,
s0c53,POINT,11:52:07.448,01.41.22.685,1889.089,[11167.92],false,23415776.45224173,,,
s0c54,POINT,11:51:28.097,01.41.42.66,2289.215,[8745.281],false,23415776.45224173,,,
s0c55,POINT,11:51:36.1,01.42.22.672,2266.074,[11063.66],false,23415776.45224173,,,
s0c56,POINT,11:51:23.428,01.42.22.66,2061.058,[6121.167],false,23415776.45224173,,,
s0c57,POINT,11:52:14.117,01.42.32.695,2141.657,[14584.25],false,23415776.45224173,,,
s0c58,POINT,11:51:54.775,01.42.32.687,1783.152,[10224.18],false,23415776.45224173,,,
s0c59,POINT,11:51:49.439,01.42.42.685,2157.091,[11876.75],false,23415776.45224173,,,
s0c60,POINT,11:51:59.444,01.43.22.696,2012.303,[11611.59],false,23415776.45224173,,,
s0c61,POINT,11:51:43.436,01.43.42.688,1857.452,[9166.158],false,23415776.45224173,,,
s0c62,POINT,11:51:34.099,01.43.52.682,1541.978,[6253.136],false,23415776.45224173,,,
s0c63,POINT,11:51:43.436,01.44.02.691,1656.378,[8301.46],false,23415776.45224173,,,
s0c64,POINT,11:52:02.11,01.50.12.756,1407.939,[6309.852],false,23415776.45224173,,,
s0c65,POINT,11:52:00.108,01.53.32.789,2065.468,[7628.165],false,23415776.45224173,,,
s0c66,POINT,11:51:54.102,01.59.32.856,2076.823,[5507.204],false,23415776.45224173,,,
s0c67,POINT,11:51:39.426,02.00.02.852,1408.69,[3329.568],false,23415776.45224173,,,
s0c68,POINT,11:51:49.432,02.00.12.862,1323.322,[3560.482],false,23415776.45224173,,,
s0c69,POINT,11:51:39.425,02.02.12.881,3108.364,[7982.425],false,23415776.45224173,,,
s0c70,POINT,11:51:50.099,02.02.22.892,2531.181,[5753.5],false,23415776.45224173,,,
s0c71,POINT,11:51:40.758,02.03.42.904,1587.508,[3401.374],false,23415776.45224173,,,
s0c72,POINT,11:51:45.428,02.04.22.917,1273.992,[2386.969],false,23415776.45224173,,,
